sa4_code,sa4_name,state_code,state_name,anzsic_division,anzsic_name,employed_persons
105,Far West and Orana,1,New South Wales,P,Education and Training,4907
105,Far West and Orana,1,New South Wales,Q,Health Care and Social Assistance,8243
105,Far West and Orana,1,New South Wales,R,Arts and Recreation Services,595
105,Far West and Orana,1,New South Wales,S,Other Services,1740
105,Far West and Orana,1,New South Wales,_T,Total,49502
106,Hunter Valley exc Newcastle,1,New South Wales,A,"Agriculture, Forestry and Fishing",3929
106,Hunter Valley exc Newcastle,1,New South Wales,B,Mining,10726
106,Hunter Valley exc Newcastle,1,New South Wales,C,Manufacturing,8214
106,Hunter Valley exc Newcastle,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",2004
106,Hunter Valley exc Newcastle,1,New South Wales,E,Construction,11957
106,Hunter Valley exc Newcastle,1,New South Wales,F,Wholesale Trade,3159
106,Hunter Valley exc Newcastle,1,New South Wales,G,Retail Trade,12316
106,Hunter Valley exc Newcastle,1,New South Wales,H,Accommodation and Food Services,9987
106,Hunter Valley exc Newcastle,1,New South Wales,I,"Transport, Postal and Warehousing",5339
106,Hunter Valley exc Newcastle,1,New South Wales,J,Information Media and Telecommunications,657
106,Hunter Valley exc Newcastle,1,New South Wales,K,Financial and Insurance Services,2382
106,Hunter Valley exc Newcastle,1,New South Wales,L,"Rental, Hiring and Real Estate Services",1629
106,Hunter Valley exc Newcastle,1,New South Wales,M,"Professional, Scientific and Technical Services",5586
106,Hunter Valley exc Newcastle,1,New South Wales,N,Administrative and Support Services,5224
106,Hunter Valley exc Newcastle,1,New South Wales,O,Public Administration and Safety,8204
106,Hunter Valley exc Newcastle,1,New South Wales,P,Education and Training,9202
106,Hunter Valley exc Newcastle,1,New South Wales,Q,Health Care and Social Assistance,18056
106,Hunter Valley exc Newcastle,1,New South Wales,R,Arts and Recreation Services,1359
106,Hunter Valley exc Newcastle,1,New South Wales,S,Other Services,5644
106,Hunter Valley exc Newcastle,1,New South Wales,_T,Total,130822
107,Illawarra,1,New South Wales,A,"Agriculture, Forestry and Fishing",606
107,Illawarra,1,New South Wales,B,Mining,2749
107,Illawarra,1,New South Wales,C,Manufacturing,8480
107,Illawarra,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",1485
107,Illawarra,1,New South Wales,E,Construction,14399
107,Illawarra,1,New South Wales,F,Wholesale Trade,2431
107,Illawarra,1,New South Wales,G,Retail Trade,12748
107,Illawarra,1,New South Wales,H,Accommodation and Food Services,9969
107,Illawarra,1,New South Wales,I,"Transport, Postal and Warehousing",6374
107,Illawarra,1,New South Wales,J,Information Media and Telecommunications,1457
107,Illawarra,1,New South Wales,K,Financial and Insurance Services,4694
107,Illawarra,1,New South Wales,L,"Rental, Hiring and Real Estate Services",1824
107,Illawarra,1,New South Wales,M,"Professional, Scientific and Technical Services",8741
107,Illawarra,1,New South Wales,N,Administrative and Support Services,4402
107,Illawarra,1,New South Wales,O,Public Administration and Safety,10394
107,Illawarra,1,New South Wales,P,Education and Training,15107
107,Illawarra,1,New South Wales,Q,Health Care and Social Assistance,24553
107,Illawarra,1,New South Wales,R,Arts and Recreation Services,1934
107,Illawarra,1,New South Wales,S,Other Services,5318
107,Illawarra,1,New South Wales,_T,Total,142732
108,Mid North Coast,1,New South Wales,A,"Agriculture, Forestry and Fishing",3550
108,Mid North Coast,1,New South Wales,B,Mining,582
108,Mid North Coast,1,New South Wales,C,Manufacturing,3811
108,Mid North Coast,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",1556
108,Mid North Coast,1,New South Wales,E,Construction,8576
108,Mid North Coast,1,New South Wales,F,Wholesale Trade,1332
108,Mid North Coast,1,New South Wales,G,Retail Trade,9420
108,Mid North Coast,1,New South Wales,H,Accommodation and Food Services,7664
108,Mid North Coast,1,New South Wales,I,"Transport, Postal and Warehousing",2933
108,Mid North Coast,1,New South Wales,J,Information Media and Telecommunications,534
108,Mid North Coast,1,New South Wales,K,Financial and Insurance Services,1283
108,Mid North Coast,1,New South Wales,L,"Rental, Hiring and Real Estate Services",1186
108,Mid North Coast,1,New South Wales,M,"Professional, Scientific and Technical Services",3244
108,Mid North Coast,1,New South Wales,N,Administrative and Support Services,3093
108,Mid North Coast,1,New South Wales,O,Public Administration and Safety,4510
108,Mid North Coast,1,New South Wales,P,Education and Training,8067
108,Mid North Coast,1,New South Wales,Q,Health Care and Social Assistance,16970
108,Mid North Coast,1,New South Wales,R,Arts and Recreation Services,976
108,Mid North Coast,1,New South Wales,S,Other Services,3299
108,Mid North Coast,1,New South Wales,_T,Total,85976
109,Murray,1,New South Wales,A,"Agriculture, Forestry and Fishing",5655
109,Murray,1,New South Wales,B,Mining,208
109,Murray,1,New South Wales,C,Manufacturing,4395
109,Murray,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",566
109,Murray,1,New South Wales,E,Construction,5198
109,Murray,1,New South Wales,F,Wholesale Trade,1257
109,Murray,1,New South Wales,G,Retail Trade,5159
109,Murray,1,New South Wales,H,Accommodation and Food Services,4013
109,Murray,1,New South Wales,I,"Transport, Postal and Warehousing",2430
109,Murray,1,New South Wales,J,Information Media and Telecommunications,325
109,Murray,1,New South Wales,K,Financial and Insurance Services,748
109,Murray,1,New South Wales,L,"Rental, Hiring and Real Estate Services",553
109,Murray,1,New South Wales,M,"Professional, Scientific and Technical Services",1944
109,Murray,1,New South Wales,N,Administrative and Support Services,1488
109,Murray,1,New South Wales,O,Public Administration and Safety,3468
109,Murray,1,New South Wales,P,Education and Training,4972
109,Murray,1,New South Wales,Q,Health Care and Social Assistance,8359
109,Murray,1,New South Wales,R,Arts and Recreation Services,563
109,Murray,1,New South Wales,S,Other Services,1968
109,Murray,1,New South Wales,_T,Total,55555
110,New England and North West,1,New South Wales,A,"Agriculture, Forestry and Fishing",10497
110,New England and North West,1,New South Wales,B,Mining,1982
110,New England and North West,1,New South Wales,C,Manufacturing,4611
110,New England and North West,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",804
110,New England and North West,1,New South Wales,E,Construction,5702
110,New England and North West,1,New South Wales,F,Wholesale Trade,1632
110,New England and North West,1,New South Wales,G,Retail Trade,7169
110,New England and North West,1,New South Wales,H,Accommodation and Food Services,4994
